"AltCountLineCode","CountInput","CountLineBlank","CountLineCodeDecl","CountLineComment","CountLinePreprocessor","CountPath","CountStmt","CountStmtEmpty","Cyclomatic","CyclomaticStrict","Knots","MinEssentialKnots","RatioCommentToCode","AltCountLineComment","CountLine","CountLineCode","CountLineCodeExe","CountLineInactive","CountOutput","CountSemicolon","CountStmtDecl","CountStmtExe","CyclomaticModified","Essential","MaxEssentialKnots","MaxNesting","Affected","Fold"
48,11,8,7,2,0,192,42,1,11,11,21,17,0.04,2,58,48,34,0,23,34,4,37,11,7,17,2,"VULNERABLE",1
26,17,4,5,0,0,9,20,0,7,7,5,5,0,0,30,26,17,0,11,16,4,16,7,5,5,2,"VULNERABLE",1
14,6,2,4,0,0,6,34,0,8,13,3,0,0,0,16,14,8,0,8,29,7,27,8,1,0,6,"NEUTRAL",1
66,19,6,8,24,2,2952,73,2,27,30,1,0,0.38,24,95,63,50,1,20,55,6,65,27,1,0,6,"VULNERABLE",1
299,23,32,22,110,8,21012545,200,2,45,50,38,32,0.41,111,434,266,221,27,43,156,15,183,44,25,38,9,"VULNERABLE",1
19,11,2,1,5,0,3,11,0,3,3,2,0,0.26,5,26,19,14,0,6,9,0,11,3,1,0,2,"NEUTRAL",1
26,16,6,2,0,0,1,15,0,1,3,0,0,0,0,32,26,22,0,22,15,0,15,1,1,0,0,"VULNERABLE",1
26,13,4,4,1,0,3,18,0,3,6,2,0,0.04,1,30,26,21,0,16,16,2,16,3,1,0,1,"NEUTRAL",1
20,6,2,13,1,0,3,10,0,3,3,3,3,0.05,1,22,20,12,0,2,8,4,6,3,3,3,2,"NEUTRAL",1
23,7,4,5,0,0,7,18,0,6,6,1,0,0,0,27,23,14,0,9,14,3,15,6,1,0,3,"NEUTRAL",1
11,4,4,2,3,0,4,7,0,3,5,0,0,0.27,3,16,11,8,0,1,5,1,6,3,1,0,1,"NEUTRAL",1
254,73,41,35,49,0,86039132,492,72,162,186,210,77,0.19,49,344,254,213,0,74,353,55,365,138,28,79,6,"VULNERABLE",1
24,3,1,1,3,0,2,19,0,17,17,1,0,0.12,3,27,24,20,0,1,2,0,19,2,1,0,1,"NEUTRAL",1
9,9,0,1,0,0,2,5,0,2,2,0,0,0,0,9,9,5,0,5,4,0,5,2,1,0,1,"NEUTRAL",1
11,5,1,2,0,0,4,7,0,3,3,0,0,0,0,12,11,7,0,5,5,0,7,3,1,0,1,"VULNERABLE",1
16,6,2,3,0,0,3,11,0,3,3,0,0,0,0,18,16,11,0,9,9,2,9,3,1,0,2,"VULNERABLE",1
56,16,10,7,0,4,16,42,0,5,6,8,6,0,7,73,45,34,14,29,38,4,38,5,4,6,1,"VULNERABLE",1
49,3,8,5,7,0,36,38,0,7,8,8,7,0.14,7,64,49,37,0,9,32,4,34,7,6,8,2,"NEUTRAL",1
51,110,4,8,2,0,384,109,12,22,32,57,0,0.04,2,56,51,45,0,14,88,12,85,10,1,0,4,"NEUTRAL",1
20,5,3,8,4,0,4,13,0,3,3,2,0,0.2,4,27,20,14,0,3,11,6,7,3,1,0,1,"NEUTRAL",1
14,12,1,4,0,0,2,8,0,2,2,1,0,0,0,15,14,9,0,5,7,2,6,2,1,0,1,"VULNERABLE",1
13,8,2,1,0,0,3,18,0,9,9,1,0,0,0,15,13,9,0,7,16,0,18,9,1,0,3,"NEUTRAL",1
27,6,5,5,5,0,2,64,0,16,16,0,0,0.19,5,37,27,23,0,21,63,10,54,16,1,0,5,"NEUTRAL",1
32,13,4,3,0,0,10,27,0,8,12,1,0,0,0,36,32,27,0,18,23,2,25,8,1,0,4,"NEUTRAL",1
6,6,0,3,2,0,1,1,0,1,1,0,0,0.33,2,8,6,1,0,2,1,0,1,1,1,0,0,"VULNERABLE",1
21,9,4,4,2,0,3,12,1,3,5,2,2,0.1,2,27,21,11,0,9,10,1,10,3,3,2,1,"VULNERABLE",1
60,18,11,7,0,4,32,44,0,6,8,8,6,0,7,78,48,37,15,31,39,4,40,6,4,6,1,"VULNERABLE",1
22,7,1,5,3,0,4,16,0,4,4,3,3,0.14,3,23,22,14,0,5,13,2,14,4,4,3,1,"VULNERABLE",1
37,13,11,9,14,0,5,24,0,4,4,3,3,0.38,14,62,37,25,0,19,21,3,21,4,4,3,2,"VULNERABLE",1
42,24,1,4,0,0,17,37,1,17,17,111,111,0,0,43,42,37,0,4,20,2,34,4,16,111,2,"NEUTRAL",1
137,21,20,14,31,0,700422,100,2,34,45,21,19,0.23,31,188,137,115,0,37,72,12,86,34,16,19,4,"VULNERABLE",1
122,46,35,20,29,0,3674,106,0,18,22,16,13,0.24,29,186,122,102,0,57,89,11,95,18,8,13,2,"VULNERABLE",1
95,8,22,5,4,0,41472,96,0,28,28,28,28,0.04,4,121,95,76,0,47,79,4,92,28,16,28,3,"NEUTRAL",1
32,26,2,19,0,0,4,16,0,4,7,4,4,0,0,34,32,25,0,9,14,5,11,4,3,4,1,"VULNERABLE",1
10,1041,1,3,0,0,2,6,0,3,3,0,0,0,0,11,10,6,0,4,5,2,4,3,1,0,1,"NEUTRAL",1
8,6,1,2,0,0,3,6,0,5,5,1,0,0,0,9,8,4,0,2,4,0,6,5,1,0,3,"VULNERABLE",1
60,20,5,8,13,0,1512,84,2,33,36,3,0,0.22,13,78,60,50,0,21,68,6,76,33,1,0,6,"VULNERABLE",1
16,46,0,1,0,2,5,9,1,5,5,3,0,0,0,16,12,8,2,5,5,0,8,5,1,0,1,"NEUTRAL",1
83,19,20,16,3,0,3268,67,0,19,23,17,17,0.04,3,106,83,60,0,14,51,12,55,19,11,17,3,"VULNERABLE",1
58,12,1,8,0,0,128,54,0,11,11,2,2,0,0,59,58,49,0,21,47,5,49,11,3,2,2,"VULNERABLE",1
19,11,3,6,17,2,4,8,0,3,5,1,0,1.06,17,39,16,10,1,4,6,3,5,3,1,0,1,"VULNERABLE",1
75,14,10,15,9,0,27,58,0,12,13,9,9,0.12,9,94,75,57,0,16,49,13,45,12,10,9,3,"VULNERABLE",1
16,8,3,3,0,0,3,11,0,3,5,1,0,0,0,19,16,10,0,7,9,2,9,3,1,0,1,"VULNERABLE",1
79,10,8,4,0,8,12,14,0,5,5,1,0,0,23,120,21,15,85,7,10,2,12,5,1,0,2,"VULNERABLE",1
25,5,6,3,1,2,3,18,0,3,3,2,2,0.05,1,32,22,16,1,10,16,2,16,3,3,2,1,"VULNERABLE",1
46,17,12,8,3,0,19,38,0,10,11,10,9,0.07,3,60,46,37,0,17,30,6,32,10,6,9,2,"NEUTRAL",1
15,10,4,3,0,0,1,9,0,1,1,0,0,0,0,19,15,11,0,8,9,1,8,1,1,0,0,"NEUTRAL",1
11,5,1,2,0,0,3,7,0,3,3,0,0,0,0,12,11,7,0,2,5,1,6,3,1,0,2,"NEUTRAL",1
19,13,6,1,3,0,2,15,0,2,2,0,0,0.16,3,28,19,16,0,17,14,0,15,2,1,0,1,"VULNERABLE",1
7,7,1,2,1,0,2,4,0,2,3,0,0,0.14,1,9,7,4,0,2,3,1,3,2,1,0,1,"NEUTRAL",1
41,20,12,7,1,0,9,69,2,18,18,6,6,0.02,1,54,41,31,0,16,63,8,59,18,6,6,4,"VULNERABLE",1
84,23,6,44,0,0,54,50,0,10,15,1,1,0,0,90,84,71,0,13,43,15,35,10,3,1,4,"NEUTRAL",1
11,17,1,1,0,0,2,6,0,2,2,1,0,0,0,12,11,8,0,5,5,0,6,2,1,0,1,"NEUTRAL",1
114,13,7,18,6,0,1450,146,0,37,55,29,18,0.05,6,124,114,91,0,19,110,20,126,32,10,18,4,"VULNERABLE",1
19,5,5,5,2,0,5,18,2,7,14,1,0,0.11,2,26,19,9,0,7,15,4,12,7,1,0,1,"NEUTRAL",1
38,11,9,7,0,0,8,35,0,4,5,8,6,0,0,47,38,27,0,23,32,4,31,4,4,6,1,"VULNERABLE",1
67,11,10,7,43,0,2304,50,1,13,13,26,26,0.64,43,120,67,49,0,24,38,2,47,13,11,26,2,"NEUTRAL",1
59,10,14,7,13,0,720,45,0,14,14,12,3,0.22,13,83,59,46,0,11,29,4,41,9,4,3,2,"VULNERABLE",1
92,14,18,10,25,0,1444800,72,0,26,35,30,30,0.27,25,135,92,76,0,15,47,7,65,26,22,30,3,"VULNERABLE",1
111,28,22,23,15,0,578,100,1,22,28,7,6,0.14,15,148,111,86,0,28,89,17,82,22,6,7,7,"VULNERABLE",1
27,14,4,5,3,0,4,26,0,3,3,0,0,0.11,3,34,27,19,0,18,24,4,22,3,1,0,1,"VULNERABLE",1
43,5,7,4,3,0,9,26,0,8,13,3,3,0.07,3,53,43,35,0,8,20,3,23,8,4,3,2,"NEUTRAL",1
40,12,10,7,5,0,8,30,0,6,6,3,3,0.12,5,55,40,28,0,12,25,5,25,6,4,3,1,"VULNERABLE",1
34,12,6,4,4,0,16,28,0,6,6,4,3,0.12,4,44,34,27,0,18,23,3,25,6,3,3,2,"VULNERABLE",1
81,23,21,12,51,0,390,54,0,15,15,24,24,0.63,51,153,81,64,0,29,39,7,47,13,12,24,2,"VULNERABLE",1
14,1,1,2,5,0,2,9,0,2,2,1,0,0.36,5,20,14,10,0,5,8,1,8,2,1,0,1,"NEUTRAL",1
21,6,6,5,0,0,5,19,0,4,4,0,0,0,0,27,21,14,0,11,16,4,15,4,1,0,2,"NEUTRAL",1
162,45,21,28,26,0,13478481,134,0,46,55,57,53,0.16,26,208,162,135,0,42,94,15,119,46,23,53,3,"VULNERABLE",1
1599,87,259,87,74,2,57602036,1927,0,866,1387,10070,9782,0.05,82,1943,1579,1163,34,104,1210,90,1837,808,243,9785,8,"VULNERABLE",1
16,7,6,3,6,0,1,17,0,7,7,0,0,0.38,6,28,16,12,0,3,17,3,14,7,1,0,3,"VULNERABLE",1
271,35,36,10,62,0,999999999,341,18,127,146,557,532,0.23,62,328,271,240,0,40,229,28,295,76,71,532,6,"VULNERABLE",1
25,21,6,6,0,0,26,22,2,9,9,4,4,0,0,31,25,15,0,5,16,3,17,9,4,4,3,"NEUTRAL",1
